"Node","RemoteNode","IGP","NormTraffic","WCTFailures","WCTraffic"
"pr5.bllon","er14.bllon","10000.0","0.0","none","0.0"
"er12.enslo","px.fast.enslo","1.0","0.0","none","0.0"
"pr2.thlon","er14.thlon","10000.0","0.0","none","0.0"
"cx.mcdn.enlcs","ar11-cdn.enlcs","1.0","41160.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","63693.0"
"srx.enbgk","pr2.hobir","10300.0","0.0","none","0.0"
"px.linx.thlon","er12.thlon","1.0","161482.0","['er13.thlon']","224928.0"
"srx.enpet","pr5.thlon","10100.0","0.0","none","0.0"
"er12.enslo","pr5.hobir","10000.0","152035.0","['Seg_enhmi-enslo', 'Seg_enlba-enshf', 'Seg_enlea-enbtr', 'Seg_enntg-enlea', 'Seg_enshf-enntg', 'Si_enshf']","313922.5"
"cx.mcdn.enbgk","ar11-cdn.enbgk","1.0","17890.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","40561.0"
"srx.enspc","pr2.enlba","10390.0","0.0","none","0.0"
"srx.enspc","pr5.hobir","10240.0","0.0","none","0.0"
"ar11-cdn.enlba","cx.aanp.enlba","1.0","0.0","none","0.0"
"ar11-cdn.enbgk","cx.goog.enbgk","1.0","0.0","none","0.0"
"pr2.bllon","srx.eneve","10150.0","5119.0","['pr5.hobir']","14385.0"
"pr2.enlba","srx.enyrk","10040.0","82849.0","none","0.0"
"pr2.thlon","pr2.bllon","1010.0","0.0","['pr5.thlon']","56010.0"
"pr5.enlba","er12.thlon","10000.0","0.0","none","0.0"
"pr5.enlba","srx.enips","10289.0","29364.0","['pr2.thlon']","147610.0"
"ar11-cdn.enbgk","pr5.thlon","100000.0","88900.0","['ar11-cdn.bllon']","132745.0"
"pr2.bllon","ar11-cdn.enlcs","100000.0","0.0","none","0.0"
"pr2.bllon","pr5.bllon","400.0","21550.0","['pr2.thlon']","296022.0"
"er14.bllon","pr5.bllon","10000.0","0.0","none","0.0"
"srx.sycwr","pr5.thlon","10200.0","0.0","none","0.0"
"ar11-cdn.enlba","cx.mcdn.enlba","1.0","0.0","none","0.0"
"pr5.thlon","pr5.enlba","1230.0","0.0","['Si_sabir']","242947.5"
"pr2.thlon","pr2.enlba","1230.0","0.0","['Si_sabir']","233047.5"
"cx.goog.enbgk","ar11-cdn.enbgk","1.0","33790.0","['ar11-cdn.hobir', 'cx.goog.hobir']","48839.0"
"pr2.enlba","srx.enwhv","11000.0","0.0","['pr5.hobir']","35165.0"
"cx.bbc.bllon","ar11-cdn.bllon","1.0","0.0","none","0.0"
"er12.thlon","px1.tt.thlon","1.0","0.0","none","0.0"
"sr10.enbel","pr5.thlon","10800.0","0.0","none","0.0"
"srx.ensts","pr2.hobir","10070.0","0.0","none","0.0"
"px.aanp.thlon","er12.thlon","1.0","278847.0","['er12.enslo', 'px.aanp.enslo']","343973.0"
"pr2.bllon","ar11-cdn.bllon","100000.0","0.0","none","0.0"
"cx.ntf.thlon","ar14-cdn.thlon","1.0","85840.0","['ar11-cdn.hobir', 'cx.ntf.hobir']","107906.0"
"er12.enslo","pr5.thlon","10000.0","167793.0","['Si_sabir']","437010.5"
"er14.thlon","pr2.thlon","10000.0","0.0","none","0.0"
"pr5.enlba","ar11-cdn.encax","100000.0","0.0","none","0.0"
"pr5.hobir","srx.enyrk","10590.0","0.0","['pr2.enlba']","82849.0"
"pr2.hobir","srx.endnd","10800.0","6680.0","['pr5.enlba']","35544.0"
"pr5.bllon","srx.syost","10060.0","107993.0","['pr2.thlon']","226843.0"
"pr5.enlba","srx.englw","10260.0","138432.0","[['pr2.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Seg_th_w140-th_e61', 'Si_sabir']]","185253.0"
"er12.thlon","px1.bbc.thlon","1.0","0.0","none","0.0"
"pr2.enlba","er13.thlon","10000.0","0.0","none","0.0"
"srx.englo","pr2.hobir","10100.0","0.0","none","0.0"
"er12.thlon","px1.goog.thlon","1.0","0.0","none","0.0"
"pr2.hobir","srx.enram","10550.0","57874.0","['pr5.bllon']","89378.0"
"px.msft.enslo","er12.enslo","1.0","142775.0","none","0.0"
"srx.enhmi","pr2.bllon","10040.0","0.0","none","0.0"
"pr2.hobir","srx.encnk","10032.0","38921.0","['pr5.enlba']","73869.0"
"ar11-cdn.encax","cx.goog.encax","1.0","0.0","none","0.0"
"er13.thlon","px2.vlv.thlon","1.0","0.0","none","0.0"
"er14.bllon","pr2.bllon","10000.0","0.0","none","0.0"
"px.voda.thlon","er13.thlon","1.0","0.0","none","0.0"
"pr2.hobir","srx.enalw","11000.0","0.0","['pr5.enlba']","27323.0"
"ar11-cdn.bllon","cx.vlcx.bllon","1.0","0.0","none","0.0"
"er12.thlon","pr5.thlon","10000.0","461351.0","['Si_th_e61']","709187.0"
"pr2.thlon","srx.sabir","10170.0","20917.0","['pr5.hobir']","77054.0"
"srx.enedi","pr5.hobir","10410.0","0.0","none","0.0"
"srx.ennth","pr2.enlba","10100.0","0.0","none","0.0"
"px1.fcbk.thlon","er12.thlon","1.0","214365.0","['er12.enslo', 'px.fcbk.enslo']","302260.0"
"px.ovh.thlon","er12.thlon","1.0","43849.0","none","0.0"
"px1.edge.thlon","er12.thlon","1.0","209258.0","['er13.thlon', 'px2.edge.thlon']","385129.0"
"pr2.hobir","pr2.enlba","1020.0","0.0","['Si_enhmi']","120486.5"
"cx.goog.encax","ar11-cdn.encax","1.0","34450.0","['ar11-cdn.hobir', 'cx.goog.hobir']","50189.0"
"pr2.enlba","srx.enncl","10120.0","125534.0","[['pr5.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Si_sabir']]","179643.0"
"srx.enslo","pr2.thlon","10070.0","0.0","none","0.0"
"ar11-cdn.enyrk","cx.mcdn.enyrk","1.0","0.0","none","0.0"
"pr2.enlba","srx.enshf","10070.0","98928.0","[['pr5.thlon'], ['Seg_th_w140-th_w150']]","146945.0"
"pr5.hobir","srx.mimnc","10210.0","50423.0","['pr2.enlba']","159388.0"
"pr5.thlon","srx.enboh","10200.0","59737.0","['pr2.bllon']","125122.0"
"ar11-cdn.enlba","cx.l3.enlba","1.0","0.0","none","0.0"
"er13.thlon","px2.hwnd.thlon","1.0","0.0","none","0.0"
"pr5.hobir","pr2.hobir","400.0","67310.0","['pr5.enlba']","324441.0"
"pr5.bllon","srx.enrdn","10090.0","44026.0","['pr2.thlon']","116437.0"
"srx.ennby","pr5.hobir","10400.0","0.0","none","0.0"
"pr5.thlon","pr5.hobir","1250.0","13800.0","['ar11-cdn.hobir']","29145.0"
"srx.endvz","pr5.bllon","10110.0","0.0","none","0.0"
"er13.thlon","px.voda.thlon","1.0","0.0","none","0.0"
"pr2.thlon","ar14-cdn.thlon","100000.0","0.0","none","0.0"
"pr5.enlba","srx.encmg","10160.0","58044.0","['pr2.thlon']","118349.0"
"cx.bbc.enlba","ar11-cdn.enlba","1.0","0.0","none","0.0"
"er12.thlon","pr5.enlba","10000.0","408624.0","['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Si_enbkh', 'Si_enhmi', 'Si_enmik', 'Si_ennrt', 'Si_enwrk', 'Si_sabir']","686336.0"
"pr5.enlba","srx.encnk","10143.0","34948.0","['pr2.hobir']","73869.0"
"pr2.bllon","srx.sycwr","10190.0","62788.0","['pr5.thlon']","110850.0"
"sr10.enbel","sr11.enbel","1000.0","5520.0","['ar14-cdn.thlon']","6734.0"
"ar11-cdn.bllon","cx.l3.bllon","1.0","0.0","none","0.0"
"ar11-cdn.bllon","cx.l3g.bllon","1.0","0.0","none","0.0"
"pr2.hobir","pr2.thlon","1250.0","51220.0","['pr5.hobir']","153810.0"
"pr5.hobir","pr5.enlba","1020.0","0.0","['Seg_enlba-enshf', 'Seg_enshf-enntg', 'Si_enntg', 'Si_enshf']","85594.5"
"er12.thlon","pr5.hobir","10000.0","396127.0","['Si_th_e61']","792261.0"
"srx.sycwr","pr2.bllon","10190.0","0.0","none","0.0"
"srx.enbgk","pr5.bllon","10120.0","0.0","none","0.0"
"ar11-cdn.enlcs","cx.ntf.enlcs","1.0","0.0","none","0.0"
"ar11-cdn.hobir","pr2.hobir","100000.0","333140.0","['pr5.hobir']","591990.0"
"cx.ntf.hobir","ar11-cdn.hobir","1.0","110330.0","['ar11-cdn.bllon', 'cx.ntf.bllon']","131192.0"
"pr2.thlon","pr5.thlon","400.0","30497.0","['pr2.bllon']","153907.0"
"cx.vlcx.encax","ar11-cdn.encax","1.0","22510.0","['ar11-cdn.bllon', 'cx.vlcx.bllon']","50634.0"
"er13.thlon","px2.appl.thlon","1.0","0.0","none","0.0"
"pr2.hobir","srx.enply","10500.0","10474.0","['pr5.bllon']","62793.0"
"sr11.enbel","sr10.enbel","1000.0","2270.0","['ar14-cdn.thlon']","4076.0"
"srx.txlon","pr5.bllon","10010.0","0.0","none","0.0"
"pr2.bllon","srx.bllon","10000.0","121537.5","['er12.thlon']","183746.0"
"srx.entau","pr2.hobir","10240.0","0.0","none","0.0"
"ar11-cdn.enlcs","pr2.bllon","100000.0","35430.0","['Seg_enlcs-enpet', 'Seg_enpet-encmg']","170050.0"
"pr5.bllon","pr5.hobir","1210.0","0.0","['ar11-cdn.hobir']","55512.5"
"pr5.thlon","srx.enmik","10070.0","97937.0","['pr2.hobir']","148049.0"
"srx.encvt","pr5.thlon","10300.0","0.0","none","0.0"
"srx.endvz","pr2.hobir","10150.0","0.0","none","0.0"
"srx.enmik","pr2.hobir","10290.0","0.0","none","0.0"
"srx.enlba","pr5.enlba","10000.0","0.0","none","0.0"
"er13.thlon","px2.edge.thlon","1.0","0.0","none","0.0"
"pr2.thlon","srx.enbtr","10200.0","6515.0","['pr5.hobir']","27342.0"
"pr2.hobir","srx.enmid","10545.0","0.0","['pr5.enlba']","82943.0"
"srx.sabir","pr5.hobir","10130.0","0.0","none","0.0"
"pr5.thlon","srx.enfol","10100.0","1.0","none","0.0"
"srx.ndwma","pr5.bllon","10200.0","0.0","none","0.0"
"srx.engta","pr2.hobir","10400.0","0.0","none","0.0"
"ar14-cdn.thlon","cx.ntf.thlon","1.0","0.0","none","0.0"
"pr5.enlba","srx.enkmk","10280.0","40178.0","[['pr2.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Seg_th_w140-th_e61', 'Si_sabir']]","47505.0"
"ar14-cdn.thlon","cx.l3.thlon","1.0","0.0","none","0.0"
"pr2.thlon","pr2.hobir","1250.0","0.0","['ar11-cdn.hobir']","13965.5"
"pr5.thlon","pr2.thlon","400.0","41850.0","['Si_th_e61']","272494.0"
"srx.encnk","pr5.enlba","10143.0","0.0","none","0.0"
"tx.tnet.thlon","er13.thlon","1.0","12881.0","['er12.enslo']","208943.0"
"pr5.thlon","srx.enntg","10330.0","48566.0","['pr2.enlba']","142932.0"
"cx.aanp.thlon","ar14-cdn.thlon","1.0","68060.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","80969.0"
"cx.l3.thlon","ar14-cdn.thlon","1.0","3630.0","['ar11-cdn.enlba', 'cx.l3.enlba']","5256.0"
"srx.enabd","pr5.enlba","10600.0","0.0","none","0.0"
"px.srvr.thlon","er13.thlon","1.0","0.0","none","0.0"
"srx.enbrs","pr2.bllon","10330.0","0.0","none","0.0"
"ar11-cdn.enlba","cx.l3g.enlba","1.0","0.0","none","0.0"
"er12.enslo","pr5.bllon","10000.0","115892.0","['pr2.thlon']","272744.5"
"pr2.hobir","srx.enswa","10250.0","24304.0","['pr5.bllon']","36759.0"
"srx.enbas","pr5.thlon","10050.0","0.0","none","0.0"
"er12.thlon","px3.amzn.thlon","1.0","0.0","none","0.0"
"srx.eninc","pr5.hobir","10170.0","0.0","none","0.0"
"ar14-cdn.thlon","pr5.thlon","100000.0","122090.0","['pr2.thlon']","256390.0"
"srx.syost","pr2.thlon","10030.0","0.0","none","0.0"
"ar11-cdn.hobir","cx.ntf.hobir","1.0","0.0","none","0.0"
"ar11-cdn.encax","pr5.enlba","100000.0","0.0","['Seg_encax-enspc', 'Seg_engta-eninc', 'Seg_enspc-engta']","51380.0"
"pr5.bllon","srx.endvz","10110.0","7768.0","['pr2.hobir']","15312.0"
"srx.encax","pr2.enlba","10900.0","0.0","none","0.0"
"srx.englo","pr5.bllon","10340.0","0.0","none","0.0"
"srx.enshf","pr5.thlon","10430.0","0.0","none","0.0"
"cx.aanp.encax","ar11-cdn.encax","1.0","21280.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","34189.0"
"er13.thlon","px2.fcbk.thlon","1.0","0.0","none","0.0"
"pr2.bllon","srx.enbrs","10330.0","21279.0","['pr5.hobir']","79564.0"
"srx.enhmi","pr5.thlon","10040.0","0.0","none","0.0"
"pr2.bllon","srx.enfol","10239.0","0.0","[['pr5.thlon'], ['Seg_th_w140-th_w150']]","1.0"
"pr5.thlon","srx.encvt","10300.0","18742.0","['pr2.hobir']","61942.0"
"er13.thlon","px2.bbc.thlon","1.0","0.0","none","0.0"
"srx.enalw","pr2.hobir","11000.0","0.0","none","0.0"
"srx.eneve","pr5.hobir","10160.0","0.0","none","0.0"
"px2.cflr.thlon","er13.thlon","1.0","12092.0","['er12.thlon', 'px1.cflr.thlon']","24277.0"
"ar11-cdn.enlba","cx.goog.enlba","1.0","0.0","none","0.0"
"ar11-cdn.enbgk","pr5.bllon","100000.0","53370.0","['ar11-cdn.hobir']","113328.0"
"pr5.bllon","srx.enslo","10230.0","39920.0","['pr2.thlon']","66401.0"
"px1.vlv.thlon","er12.thlon","1.0","36861.0","['er13.thlon', 'px2.vlv.thlon']","65300.0"
"px3.amzn.thlon","er12.thlon","1.0","0.0","none","0.0"
"cx.l3.bllon","ar11-cdn.bllon","1.0","2550.0","['ar11-cdn.enlba', 'cx.l3.enlba']","3963.0"
"ar11-cdn.encax","pr5.hobir","100000.0","78240.0","['ar11-cdn.hobir']","119971.0"
"er13.thlon","px2.cflr.thlon","1.0","0.0","none","0.0"
"ar11-cdn.enlba","cx.vlcx.enlba","1.0","0.0","none","0.0"
"pr2.enlba","srx.enlba","10000.0","88907.5","['er12.thlon']","134618.0"
"srx.enalw","pr5.enlba","10300.0","0.0","none","0.0"
"srx.enboh","pr2.bllon","10190.0","0.0","none","0.0"
"cx.goog.bllon","ar11-cdn.bllon","1.0","45490.0","['ar11-cdn.hobir', 'cx.goog.hobir']","61229.0"
"ar11-cdn.enlba","cx.bbc.enlba","1.0","0.0","none","0.0"
"pr2.hobir","srx.enwrk","10250.0","59334.0","['pr5.thlon']","88196.0"
"pr5.hobir","srx.eneve","10160.0","17376.0","['pr2.bllon']","22495.0"
"px.aanp.enslo","er12.enslo","1.0","72393.0","['er12.thlon', 'px.aanp.thlon']","86304.0"
"srx.enmid","pr5.enlba","10081.0","0.0","none","0.0"
"er12.enslo","px.fcbk.enslo","1.0","0.0","none","0.0"
"pr5.enlba","srx.pomnc","10090.0","62099.0","[['pr2.hobir'], ['Si_sabir']]","136856.0"
"er13.thlon","px.tlx.thlon","1.0","0.0","none","0.0"
"px2.edge.thlon","er13.thlon","1.0","175871.0","['er12.thlon', 'px1.edge.thlon']","385129.0"
"cx.aanp.enyrk","ar11-cdn.enyrk","1.0","35710.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","48619.0"
"pr2.bllon","pr2.hobir","1210.0","5780.0","['pr5.bllon']","222660.0"
"pr2.thlon","srx.ndwma","10100.0","338554.0","[['pr5.bllon'], ['Seg_bllon-th_e61']]","413719.0"
"px.lswb.thlon","er12.thlon","1.0","19321.0","none","0.0"
"srx.enwrk","pr2.hobir","10250.0","0.0","none","0.0"
"ar11-cdn.enbgk","cx.mcdn.enbgk","1.0","0.0","none","0.0"
"er12.enslo","tx.l3.enslo","1.0","0.0","none","0.0"
"pr2.hobir","pr5.hobir","400.0","14140.0","['pr2.enlba']","231766.0"
"pr2.enlba","sr11.enbel","10530.0","44260.0","['pr5.thlon']","75569.0"
"px2.vlv.thlon","er13.thlon","1.0","35582.0","['er12.thlon', 'px1.vlv.thlon']","53996.0"
"tx.ntt.thlon","er13.thlon","1.0","211533.0","['er12.thlon']","514640.0"
"er13.thlon","px.gmbh.thlon","1.0","0.0","none","0.0"
"pr5.hobir","srx.hobir","10000.0","102542.0","['pr2.hobir']","154786.0"
"srx.enncl","pr5.hobir","10500.0","0.0","none","0.0"
"er13.thlon","px.lnap.thlon","1.0","0.0","none","0.0"
"pr5.hobir","srx.enwhv","10500.0","35165.0","none","0.0"
"srx.mimnc","pr2.enlba","10113.0","0.0","none","0.0"
"ar11-cdn.enlcs","cx.vlcx.enlcs","1.0","0.0","none","0.0"
"srx.enram","pr5.bllon","10500.0","0.0","none","0.0"
"ar11-cdn.enyrk","cx.goog.enyrk","1.0","0.0","none","0.0"
"srx.entau","pr5.bllon","10950.0","0.0","none","0.0"
"er12.thlon","px1.jtv.thlon","1.0","0.0","none","0.0"
"pr5.hobir","pr5.thlon","1250.0","0.0","['pr2.hobir']","42840.0"
"px2.jtv.thlon","er13.thlon","1.0","34202.0","['er12.thlon', 'px1.jtv.thlon']","70300.0"
"srx.thlon","pr5.thlon","10000.0","0.0","none","0.0"
"ar11-cdn.hobir","cx.vlcx.hobir","1.0","0.0","none","0.0"
"pr2.hobir","srx.enmik","10290.0","50112.0","['pr5.thlon']","148049.0"
"srx.enfol","pr2.bllon","10239.0","0.0","none","0.0"
"srx.hobir","pr5.hobir","10000.0","0.0","none","0.0"
"srx.enabd","pr2.hobir","10800.0","0.0","none","0.0"
"srx.enmik","pr5.thlon","10070.0","0.0","none","0.0"
"pr5.hobir","ar11-cdn.hobir","100000.0","0.0","none","0.0"
"pr5.thlon","srx.enbas","10050.0","144312.0","none","0.0"
"srx.enyrk","pr5.hobir","10590.0","0.0","none","0.0"
"cx.vlcx.bllon","ar11-cdn.bllon","1.0","142490.0","['ar11-cdn.hobir', 'cx.vlcx.hobir']","160680.0"
"er12.enslo","px.itran.enslo","1.0","0.0","none","0.0"
"pr2.bllon","srx.fnbsh","10140.0","78340.5","['pr5.thlon']","134379.0"
"srx.enply","pr2.hobir","10500.0","0.0","none","0.0"
"pr5.enlba","srx.ennrw","10230.0","38489.0","['pr2.thlon']","74125.0"
"srx.enwkg","pr2.hobir","10190.0","0.0","none","0.0"
"cx.goog.enlcs","ar11-cdn.enlcs","1.0","35430.0","['ar11-cdn.hobir', 'cx.goog.hobir']","50931.0"
"pr2.enlba","srx.enspc","10390.0","9146.0","['pr5.hobir']","55890.0"
"pr5.hobir","pr5.bllon","1210.0","0.0","['pr2.hobir']","212820.0"
"srx.enwhv","pr5.hobir","10500.0","0.0","none","0.0"
"cx.vlcx.enbgk","ar11-cdn.enbgk","1.0","22600.0","['ar11-cdn.bllon', 'cx.vlcx.bllon']","51098.0"
"pr2.hobir","ar11-cdn.enyrk","100000.0","0.0","none","0.0"
"er12.enslo","px.msft.enslo","1.0","0.0","none","0.0"
"pr5.thlon","sr10.enbel","10800.0","31318.0","['pr2.bllon']","58187.0"
"er12.enslo","srx.enslo","100000.0","0.0","none","0.0"
"er12.thlon","px1.fcbk.thlon","1.0","0.0","none","0.0"
"pr2.thlon","srx.enrdn","10080.0","72411.0","['pr5.bllon']","116437.0"
"pr2.enlba","srx.ennth","10100.0","16122.0","['pr5.hobir']","24032.0"
"pr5.hobir","srx.ennth","10100.0","7910.0","['pr2.enlba']","24032.0"
"cx.l3g.bllon","ar11-cdn.bllon","1.0","85260.0","['ar11-cdn.hobir', 'cx.l3g.hobir']","116330.0"
"cx.aanp.enlcs","ar11-cdn.enlcs","1.0","24650.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","37333.0"
"ar11-cdn.enlba","pr5.enlba","100000.0","209055.0","['pr2.enlba']","394700.0"
"pr2.thlon","ar11-cdn.enlcs","100000.0","0.0","none","0.0"
"pr5.bllon","er12.enslo","10000.0","0.0","none","0.0"
"pr5.hobir","srx.sabir","10130.0","65157.0","['pr2.thlon']","86074.0"
"pr2.enlba","ar11-cdn.enlba","100000.0","0.0","none","0.0"
"pr5.hobir","er12.enslo","10000.0","0.0","none","0.0"
"cx.vlcx.enlcs","ar11-cdn.enlcs","1.0","30000.0","['ar11-cdn.bllon', 'cx.vlcx.bllon']","58498.0"
"er12.enslo","pr2.bllon","10000.0","111692.0","['er13.thlon']","175726.5"
"pr2.enlba","er12.enslo","10000.0","0.0","none","0.0"
"srx.englw","pr5.enlba","10260.0","0.0","none","0.0"
"srx.sabir","pr2.thlon","10170.0","0.0","none","0.0"
"srx.enboh","pr5.thlon","10200.0","0.0","none","0.0"
"srx.enbtr","pr2.thlon","10200.0","0.0","none","0.0"
"pr5.thlon","srx.enshf","10430.0","48017.0","['pr2.enlba']","146945.0"
"pr2.hobir","srx.enlpl","10140.0","120216.0","[['pr5.enlba'], ['Seg_encmg-th_n', 'Seg_enlba-enshf', 'Seg_enlcs-enpet', 'Seg_enntg-enlcs', 'Seg_enpet-encmg', 'Seg_enshf-enntg', 'Si_encmg', 'Si_enlcs', 'Si_enntg', 'Si_enpet', 'Si_enshf']]","172140.0"
"pr5.enlba","srx.enmid","10081.0","82943.0","none","0.0"
"srx.enbas","pr2.enlba","10700.0","0.0","none","0.0"
"er12.enslo","px1.lime.enslo","1.0","0.0","none","0.0"
"sr10.enbel","pr2.bllon","10800.0","0.0","none","0.0"
"pr2.hobir","srx.enkmk","10340.0","7327.0","['pr5.enlba']","47505.0"
"px.itran.enslo","er12.enslo","1.0","0.0","none","0.0"
"pr2.bllon","srx.enhmi","10040.0","22140.0","['pr5.thlon']","68571.0"
"pr2.hobir","srx.endvz","10150.0","7544.0","['pr5.bllon']","13602.0"
"er12.thlon","pr5.bllon","10000.0","458746.0","['er13.thlon']","606557.0"
"pr2.hobir","srx.englw","10370.0","46821.0","['pr5.enlba']","185253.0"
"pr5.thlon","srx.thlon","10000.0","136564.5","['pr2.thlon']","208229.0"
"er13.thlon","pr2.bllon","10000.0","201818.0","['pr2.hobir']","395039.0"
"pr2.hobir","srx.enabd","10800.0","17321.0","['pr5.enlba']","64040.0"
"pr5.bllon","srx.txlon","10010.0","7305.5","['pr2.thlon']","14604.0"
"srx.enswa","pr2.hobir","10250.0","0.0","none","0.0"
"er12.enslo","px.appl.enslo","1.0","0.0","none","0.0"
"pr5.hobir","srx.enbrs","10230.0","58285.0","[['pr2.bllon'], ['Seg_bllon-th_e61']]","79564.0"
"px.gmbh.thlon","er13.thlon","1.0","6838.0","none","0.0"
"srx.enips","pr2.thlon","10083.0","0.0","none","0.0"
"pr2.enlba","srx.mimnc","10113.0","108965.0","[['pr5.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Si_sabir']]","159388.0"
"px1.amzn.thlon","er13.thlon","1.0","147330.0","['er12.enslo', 'px2.amzn.enslo']","247451.0"
"srx.enkmk","pr2.hobir","10340.0","0.0","none","0.0"
"srx.enwkg","pr5.bllon","10043.0","0.0","none","0.0"
"px2.lime.thlon","er13.thlon","1.0","82373.0","['er12.thlon', 'px1.lime.thlon']","153081.0"
"pr5.bllon","pr2.bllon","400.0","7360.0","['pr5.thlon']","162910.0"
"pr5.thlon","pr5.bllon","1010.0","0.0","['pr2.thlon']","81050.0"
"er12.thlon","px1.lime.thlon","1.0","0.0","none","0.0"
"srx.encnk","pr2.hobir","10032.0","0.0","none","0.0"
"ar11-cdn.enlcs","pr2.thlon","100000.0","134620.0","['ar11-cdn.hobir']","181947.0"
"ar14-cdn.thlon","cx.aanp.thlon","1.0","0.0","none","0.0"
"ar11-cdn.enlcs","cx.aanp.enlcs","1.0","0.0","none","0.0"
"pr5.bllon","srx.enwkg","10043.0","61042.0","[['pr2.hobir'], ['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Seg_th_w140-th_e61', 'Si_enbkh', 'Si_enhmi', 'Si_enmik', 'Si_ennrt', 'Si_enwrk', 'Si_sabir']]","80411.0"
"srx.ensts","pr5.enlba","10120.0","0.0","none","0.0"
"pr2.hobir","srx.entau","10240.0","114687.0","none","0.0"
"px.goog.enslo","er12.enslo","1.0","172761.0","['er13.thlon', 'px2.goog.thlon']","302918.0"
