"Node","RemoteNode","IGP","NormTraffic","WCTFailures","WCTraffic"
"pr5.enlba","pr5.hobir","1020.0","10580.0","['pr2.enlba']","112380.0"
"pr2.hobir","srx.pomnc","10070.0","74757.0","['pr5.enlba']","136856.0"
"px1.goog.thlon","er12.thlon","1.0","200176.0","['er12.enslo', 'px.goog.enslo']","277892.0"
"pr5.enlba","srx.enlpl","10480.0","51924.0","['pr2.hobir']","172140.0"
"pr5.thlon","ar11-cdn.enbgk","100000.0","0.0","none","0.0"
"px.fast.enslo","er12.enslo","1.0","23080.0","none","0.0"
"px2.goog.thlon","er13.thlon","1.0","178333.0","['er12.enslo', 'px.goog.enslo']","273319.0"
"srx.thlon","pr2.thlon","10000.0","0.0","none","0.0"
"px.spfy.enslo","er12.enslo","1.0","0.0","none","0.0"
"srx.enkmk","pr5.enlba","10280.0","0.0","none","0.0"
"pr5.thlon","ar14-cdn.thlon","100000.0","0.0","none","0.0"
"cx.aanp.hobir","ar11-cdn.hobir","1.0","90410.0","['ar14-cdn.thlon', 'cx.aanp.thlon']","100130.0"
"px2.appl.thlon","er13.thlon","1.0","229465.0","['er12.enslo', 'px.appl.enslo']","323350.0"
"srx.enlba","pr2.enlba","10000.0","0.0","none","0.0"
"pr2.enlba","srx.enbas","10700.0","0.0","['pr5.thlon']","85572.0"
"pr5.bllon","srx.encdf","10210.0","62295.0","['pr2.hobir']","199228.0"
"srx.ennth","pr5.hobir","10100.0","0.0","none","0.0"
"srx.enntg","pr5.thlon","10330.0","0.0","none","0.0"
"srx.enlcs","pr5.hobir","10130.0","0.0","none","0.0"
"er12.thlon","px.linx.thlon","1.0","0.0","none","0.0"
"px2.tt.thlon","er13.thlon","1.0","0.0","none","0.0"
"pr5.enlba","srx.enabd","10600.0","46719.0","[['pr2.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Seg_th_w140-th_e61', 'Si_sabir']]","64040.0"
"pr5.hobir","srx.enbtr","10050.0","23437.0","['pr2.thlon']","29952.0"
"px1.bbc.thlon","er12.thlon","1.0","22606.0","none","0.0"
"er13.thlon","px.srvr.thlon","1.0","0.0","none","0.0"
"srx.ndwma","pr2.thlon","10100.0","0.0","none","0.0"
"srx.enwhv","pr2.enlba","11000.0","0.0","none","0.0"
"ar14-cdn.thlon","pr2.thlon","100000.0","134300.0","['pr5.thlon']","251330.0"
"pr5.hobir","srx.encax","10400.0","26810.0","['pr2.enlba']","28820.0"
"pr5.bllon","srx.bllon","10000.0","135419.5","['pr2.bllon']","192436.0"
"pr5.enlba","srx.ensts","10120.0","34814.0","['pr2.hobir']","86450.0"
"srx.enlcs","pr2.thlon","10260.0","0.0","none","0.0"
"srx.enexe","pr5.bllon","10480.0","0.0","none","0.0"
"srx.encmg","pr2.thlon","10060.0","0.0","none","0.0"
"srx.endnd","pr5.enlba","10540.0","0.0","none","0.0"
"cx.l3.enlba","ar11-cdn.enlba","1.0","4890.0","['ar11-cdn.hobir', 'cx.l3.hobir']","6191.0"
"pr2.bllon","er14.bllon","10000.0","0.0","none","0.0"
"srx.encdf","pr5.bllon","10210.0","0.0","none","0.0"
"pr5.thlon","er14.thlon","10000.0","0.0","none","0.0"
"pr2.thlon","srx.txlon","10010.0","7298.5","['pr5.bllon']","14604.0"
"pr5.bllon","srx.ndwma","10200.0","75165.0","['pr2.thlon']","413719.0"
"ar11-cdn.enbgk","cx.aanp.enbgk","1.0","0.0","none","0.0"
"srx.enfol","pr5.thlon","10100.0","0.0","none","0.0"
"cx.aanp.enbgk","ar11-cdn.enbgk","1.0","21220.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","33924.0"
"pr2.bllon","er13.thlon","10000.0","0.0","none","0.0"
"pr2.hobir","er13.thlon","10000.0","0.0","none","0.0"
"tx.ntt.enslo","er12.enslo","1.0","113686.0","['er13.thlon']","345991.0"
"srx.endnd","pr2.hobir","10800.0","0.0","none","0.0"
"cx.goog.enlba","ar11-cdn.enlba","1.0","57140.0","['ar11-cdn.hobir', 'cx.goog.hobir']","72879.0"
"ar11-cdn.hobir","cx.l3g.hobir","1.0","0.0","none","0.0"
"pr2.enlba","srx.encax","10900.0","2010.0","['pr5.hobir']","28820.0"
"pr5.bllon","srx.enbgk","10120.0","83019.0","[['pr2.hobir'], ['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Seg_th_w140-th_e61', 'Si_enbkh', 'Si_enhmi', 'Si_enmik', 'Si_ennrt', 'Si_enwrk', 'Si_sabir']]","99999.0"
"pr5.thlon","srx.enhmi","10040.0","46431.0","['pr2.bllon']","68571.0"
"pr5.bllon","pr5.thlon","1010.0","165955.0","['pr2.bllon']","250970.0"
"pr5.thlon","sr11.enbel","10800.0","31309.0","['pr2.enlba']","73299.0"
"cx.vlcx.enlba","ar11-cdn.enlba","1.0","51800.0","['ar11-cdn.bllon', 'cx.vlcx.bllon']","80298.0"
"srx.syost","pr5.bllon","10060.0","0.0","none","0.0"
"px.ntf.thlon","er12.thlon","1.0","52560.0","none","0.0"
"er13.thlon","px2.lime.thlon","1.0","0.0","none","0.0"
"ar11-cdn.bllon","cx.bbc.bllon","1.0","0.0","none","0.0"
"er12.thlon","px1.edge.thlon","1.0","0.0","none","0.0"
"pr2.enlba","pr2.thlon","1230.0","0.0","['pr5.enlba']","51550.0"
"srx.pomnc","pr5.enlba","10090.0","0.0","none","0.0"
"ar11-cdn.enbgk","cx.vlcx.enbgk","1.0","0.0","none","0.0"
"pr5.bllon","srx.englo","10340.0","29357.0","['pr2.hobir']","92604.0"
"srx.encvt","pr2.hobir","10060.0","0.0","none","0.0"
"srx.ennrw","pr2.thlon","10142.0","0.0","none","0.0"
"pr5.bllon","er12.thlon","10000.0","0.0","none","0.0"
"srx.hobir","pr2.hobir","10000.0","0.0","none","0.0"
"srx.fnbsh","pr2.bllon","10140.0","0.0","none","0.0"
"pr2.thlon","srx.syost","10030.0","118850.0","['pr5.bllon']","226843.0"
"srx.enpet","pr2.enlba","10250.0","0.0","none","0.0"
"ar11-cdn.enyrk","pr2.hobir","100000.0","0.0","['Seg_enlba-enyrk']","98330.0"
"er13.thlon","pr2.enlba","10000.0","387687.0","['Si_th_w140']","715235.0"
"er13.thlon","px1.amzn.thlon","1.0","0.0","none","0.0"
"pr5.hobir","srx.eninc","10170.0","169278.0","[['pr2.enlba'], ['Seg_encmg-th_n', 'Seg_enlba-enshf', 'Seg_enlcs-enpet', 'Seg_enntg-enlcs', 'Seg_enpet-encmg', 'Seg_enshf-enntg', 'Seg_th_n-th_e61', 'Si_encmg', 'Si_enlcs', 'Si_enntg', 'Si_enpet', 'Si_enshf']]","205768.0"
"cx.l3.hobir","ar11-cdn.hobir","1.0","3930.0","['ar11-cdn.enlba', 'cx.l3.enlba']","5556.0"
"er12.enslo","px2.amzn.enslo","1.0","0.0","none","0.0"
"pr5.hobir","er12.thlon","10000.0","0.0","none","0.0"
"srx.enexe","pr2.hobir","10750.0","0.0","none","0.0"
"pr2.enlba","srx.enpet","10250.0","60065.0","['pr5.thlon']","104262.0"
"pr5.bllon","srx.enram","10500.0","31504.0","['pr2.hobir']","89378.0"
"px.libg.thlon","er13.thlon","1.0","0.0","none","0.0"
"srx.enbrs","pr5.hobir","10230.0","0.0","none","0.0"
"srx.enply","pr5.bllon","10400.0","0.0","none","0.0"
"er12.thlon","px.aanp.thlon","1.0","0.0","none","0.0"
"srx.enbkh","pr2.hobir","10175.0","0.0","none","0.0"
"cx.mcdn.hobir","ar11-cdn.hobir","1.0","139780.0","['ar14-cdn.thlon', 'cx.mcdn.thlon']","156255.0"
"er12.thlon","px.ovh.thlon","1.0","0.0","none","0.0"
"pr2.bllon","sr10.enbel","10800.0","32389.0","['pr5.thlon']","63707.0"
"pr2.thlon","er12.enslo","10000.0","0.0","none","0.0"
"cx.ntf.bllon","ar11-cdn.bllon","1.0","104310.0","['ar11-cdn.hobir', 'cx.ntf.hobir']","126376.0"
"srx.enedi","pr2.enlba","10220.0","0.0","none","0.0"
"pr2.enlba","srx.eninc","10450.0","36490.0","['pr5.hobir']","205768.0"
"trid.1","trid.2","1.0","0.0","none","0.0"
"ar11-cdn.hobir","cx.aanp.hobir","1.0","0.0","none","0.0"
"pr2.bllon","srx.enboh","10190.0","65385.0","['pr5.thlon']","125122.0"
"pr5.thlon","srx.fnbsh","10140.0","56038.5","['pr2.bllon']","134379.0"
"pr2.thlon","srx.ennrw","10142.0","44546.0","['pr5.enlba']","83035.0"
"ar11-cdn.bllon","cx.aanp.bllon","1.0","0.0","none","0.0"
"er12.enslo","px.linx.enslo","1.0","0.0","none","0.0"
"cx.ntf.enlcs","ar11-cdn.enlcs","1.0","38810.0","['ar11-cdn.hobir', 'cx.ntf.hobir']","60876.0"
"er12.enslo","pr2.enlba","10000.0","259487.5","['er13.thlon']","408310.5"
"pr2.hobir","srx.enbgk","10300.0","16980.0","['pr5.bllon']","99999.0"
"srx.pomnc","pr2.hobir","10070.0","0.0","none","0.0"
"pr5.hobir","ar11-cdn.encax","100000.0","0.0","none","0.0"
"trid.2","trid.1","1.0","0.0","none","0.0"
"pr2.hobir","srx.enwkg","10190.0","19369.0","['pr5.bllon']","64301.0"
"ar11-cdn.hobir","cx.mcdn.hobir","1.0","0.0","none","0.0"
"pr2.hobir","srx.enbkh","10175.0","26584.0","['pr5.thlon']","145676.0"
"pr5.bllon","ar11-cdn.bllon","100000.0","0.0","none","0.0"
"pr5.thlon","srx.sycwr","10200.0","48062.0","['pr2.bllon']","110850.0"
"srx.mimnc","pr5.hobir","10210.0","0.0","none","0.0"
"srx.txlon","pr2.thlon","10010.0","0.0","none","0.0"
"ar11-cdn.bllon","cx.goog.bllon","1.0","0.0","none","0.0"
"ar11-cdn.bllon","pr5.bllon","100000.0","387530.0","['pr2.bllon']","500620.0"
"pr2.enlba","srx.enntg","10160.0","110746.0","[['pr5.thlon'], ['Seg_th_w140-th_w150']]","159312.0"
"er12.thlon","px1.vlv.thlon","1.0","0.0","none","0.0"
"ar11-cdn.hobir","cx.l3.hobir","1.0","0.0","none","0.0"
"er12.thlon","px.lswb.thlon","1.0","0.0","none","0.0"
"cx.aanp.bllon","ar11-cdn.bllon","1.0","65970.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","78879.0"
"ar11-cdn.enlcs","cx.mcdn.enlcs","1.0","0.0","none","0.0"
"pr5.bllon","srx.entau","10950.0","0.0","['pr2.hobir']","114687.0"
"pr5.thlon","srx.enbkh","10093.0","130662.0","[['pr2.hobir'], ['Seg_th_w140-th_e61']]","157246.0"
"srx.fnbsh","pr5.thlon","10140.0","0.0","none","0.0"
"cx.ntf.enbgk","ar11-cdn.enbgk","1.0","46770.0","['ar11-cdn.hobir', 'cx.ntf.hobir']","68836.0"
"ar11-cdn.enlba","pr2.enlba","100000.0","193565.0","['pr5.enlba']","396640.0"
"er13.thlon","pr2.thlon","10000.0","376844.0","['er12.thlon']","638842.0"
"cx.mcdn.enlba","ar11-cdn.enlba","1.0","83850.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","107141.0"
"er12.enslo","pr2.hobir","10000.0","256028.0","['Si_enhmi']","475021.5"
"pr5.bllon","srx.enply","10400.0","52319.0","[['pr2.hobir'], ['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Seg_th_w140-th_e61']]","62793.0"
"px1.jtv.thlon","er12.thlon","1.0","36098.0","['er13.thlon', 'px2.jtv.thlon']","70300.0"
"srx.encax","pr5.hobir","10400.0","0.0","none","0.0"
"srx.bllon","pr5.bllon","10000.0","0.0","none","0.0"
"srx.ennrw","pr5.enlba","10230.0","0.0","none","0.0"
"ar11-cdn.hobir","cx.bbc.hobir","1.0","0.0","none","0.0"
"er12.thlon","px.hwnd.thlon","1.0","0.0","none","0.0"
"srx.eneve","pr2.bllon","10150.0","0.0","none","0.0"
"srx.ennby","pr2.bllon","10260.0","0.0","none","0.0"
"pr2.bllon","er12.enslo","10000.0","0.0","none","0.0"
"pr2.hobir","er12.enslo","10000.0","0.0","none","0.0"
"pr2.hobir","srx.ensts","10070.0","51636.0","['pr5.enlba']","86450.0"
"srx.enbkh","pr5.thlon","10093.0","0.0","none","0.0"
"ar11-cdn.enyrk","pr2.enlba","100000.0","98330.0","['ar14-cdn.thlon']","117789.0"
"er13.thlon","pr2.hobir","10000.0","547356.0","['er12.thlon']","937560.0"
"er12.enslo","pr2.thlon","10000.0","251879.0","['Si_sabir']","471126.5"
"er12.enslo","px.spfy.enslo","1.0","0.0","none","0.0"
"sr11.enbel","pr5.thlon","10800.0","0.0","none","0.0"
"ar11-cdn.bllon","cx.mcdn.bllon","1.0","0.0","none","0.0"
"er14.thlon","pr5.thlon","10000.0","0.0","none","0.0"
"pr2.thlon","srx.enlcs","10260.0","29688.0","['pr5.hobir']","177196.0"
"pr5.enlba","ar11-cdn.enlba","100000.0","0.0","none","0.0"
"pr5.enlba","er12.enslo","10000.0","0.0","none","0.0"
"srx.enlpl","pr5.enlba","10480.0","0.0","none","0.0"
"pr5.thlon","er12.thlon","10000.0","0.0","none","0.0"
"srx.enmid","pr2.hobir","10545.0","0.0","none","0.0"
"px1.tt.thlon","er12.thlon","1.0","0.0","none","0.0"
"ar11-cdn.enlba","cx.ntf.enlba","1.0","0.0","none","0.0"
"cx.goog.enyrk","ar11-cdn.enyrk","1.0","32980.0","['ar11-cdn.hobir', 'cx.goog.hobir']","48719.0"
"pr5.thlon","srx.enpet","10100.0","54377.0","['pr2.enlba']","91202.0"
"srx.enbtr","pr5.hobir","10050.0","0.0","none","0.0"
"cx.mcdn.bllon","ar11-cdn.bllon","1.0","96410.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","119701.0"
"pr2.enlba","ar11-cdn.enyrk","100000.0","0.0","none","0.0"
"px1.appl.thlon","er12.thlon","1.0","55466.0","['er12.enslo', 'px.appl.enslo']","149351.0"
"px2.hwnd.thlon","er13.thlon","1.0","0.0","none","0.0"
"srx.engta","pr5.enlba","10900.0","0.0","none","0.0"
"srx.enntg","pr2.enlba","10160.0","0.0","none","0.0"
"srx.enshf","pr2.enlba","10070.0","0.0","none","0.0"
"pr2.bllon","pr2.thlon","1010.0","57805.0","['Si_enhmi']","152831.5"
"pr5.hobir","srx.enspc","10240.0","46744.0","[['pr2.enlba'], ['Seg_encmg-th_n', 'Seg_enlba-enshf', 'Seg_enlcs-enpet', 'Seg_enntg-enlcs', 'Seg_enpet-encmg', 'Seg_enshf-enntg', 'Seg_th_n-th_e61', 'Si_encmg', 'Si_enlcs', 'Si_enntg', 'Si_enpet', 'Si_enshf']]","55890.0"
"pr2.thlon","srx.encmg","10060.0","94295.0","['pr5.enlba']","152339.0"
"px.fcbk.enslo","er12.enslo","1.0","175819.0","['er12.thlon', 'px1.fcbk.thlon']","315122.0"
"er13.thlon","px2.jtv.thlon","1.0","0.0","none","0.0"
"cx.goog.hobir","ar11-cdn.hobir","1.0","94450.0","['ar11-cdn.enlba', 'cx.goog.enlba']","103971.0"
"pr5.enlba","pr5.thlon","1230.0","0.0","['pr2.enlba']","65140.0"
"pr2.thlon","er13.thlon","10000.0","0.0","none","0.0"
"pr2.hobir","ar11-cdn.hobir","100000.0","0.0","none","0.0"
"srx.enyrk","pr2.enlba","10040.0","0.0","none","0.0"
"pr2.thlon","srx.enips","10083.0","132746.0","[['pr5.enlba'], ['Seg_encmg-th_n', 'Seg_enlba-enshf', 'Seg_enlcs-enpet', 'Seg_enntg-enlcs', 'Seg_enpet-encmg', 'Seg_enshf-enntg', 'Si_encmg']]","162110.0"
"pr5.hobir","srx.enedi","10410.0","47662.0","['pr2.enlba']","139912.0"
"pr5.enlba","srx.engta","10900.0","0.0","['pr2.hobir']","35077.0"
"px2.fcbk.thlon","er13.thlon","1.0","183075.0","['er12.enslo', 'px.fcbk.enslo']","270970.0"
"pr5.hobir","srx.enlcs","10130.0","147508.0","['pr2.thlon']","177196.0"
"er13.thlon","px2.goog.thlon","1.0","0.0","none","0.0"
"cx.mcdn.enyrk","ar11-cdn.enyrk","1.0","29640.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","52931.0"
"tx.tnet.enslo","er12.enslo","1.0","227304.0","['er12.thlon']","244484.0"
"pr2.hobir","srx.encvt","10060.0","43200.0","[['pr5.thlon'], ['Seg_th_w140-th_w150']]","61942.0"
"pr5.hobir","srx.ennby","10400.0","4056.0","['pr2.bllon']","21193.0"
"srx.enncl","pr2.enlba","10120.0","0.0","none","0.0"
"srx.encmg","pr5.enlba","10160.0","0.0","none","0.0"
"ar11-cdn.encax","cx.vlcx.encax","1.0","0.0","none","0.0"
"pr2.thlon","srx.thlon","10000.0","125719.5","['pr5.thlon']","197384.0"
"srx.englw","pr2.hobir","10370.0","0.0","none","0.0"
"pr2.thlon","srx.enslo","10070.0","26481.0","['pr5.bllon']","66401.0"
"ar11-cdn.enyrk","cx.aanp.enyrk","1.0","0.0","none","0.0"
"er12.enslo","tx.ntt.enslo","1.0","0.0","none","0.0"
"cx.l3g.enlba","ar11-cdn.enlba","1.0","68500.0","['ar11-cdn.bllon', 'cx.l3g.bllon']","105020.0"
"ar11-cdn.hobir","cx.goog.hobir","1.0","0.0","none","0.0"
"pr2.hobir","srx.englo","10100.0","71167.0","[['pr5.bllon'], ['Seg_bllon-th_e61']]","100524.0"
"pr2.hobir","pr2.bllon","1210.0","0.0","['Seg_bllon-th_e61']","64521.0"
"srx.encdf","pr2.hobir","10140.0","0.0","none","0.0"
"er13.thlon","px2.tt.thlon","1.0","0.0","none","0.0"
"pr2.enlba","pr2.hobir","1020.0","17950.0","['pr5.enlba']","179730.0"
"cx.aanp.enlba","ar11-cdn.enlba","1.0","64300.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","77209.0"
"srx.enlpl","pr2.hobir","10140.0","0.0","none","0.0"
"srx.enrdn","pr5.bllon","10090.0","0.0","none","0.0"
"pr2.hobir","srx.hobir","10000.0","95041.0","['pr5.hobir']","147285.0"
"ar11-cdn.enlcs","cx.goog.enlcs","1.0","0.0","none","0.0"
"srx.enslo","pr5.bllon","10230.0","0.0","none","0.0"
"er12.thlon","px1.appl.thlon","1.0","0.0","none","0.0"
"px1.lime.thlon","er12.thlon","1.0","94310.0","['er13.thlon', 'px2.lime.thlon']","133819.0"
"px.hwnd.thlon","er12.thlon","1.0","272379.0","none","0.0"
"cx.l3g.hobir","ar11-cdn.hobir","1.0","62140.0","['ar11-cdn.bllon', 'cx.l3g.bllon']","104770.0"
"srx.enslo","er12.enslo","100000.0","0.0","none","0.0"
"er13.thlon","tx.l3.thlon","1.0","0.0","none","0.0"
"px2.bbc.thlon","er13.thlon","1.0","19380.0","none","0.0"
"pr5.enlba","srx.endnd","10540.0","28864.0","[['pr2.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Seg_th_w140-th_e61', 'Si_sabir']]","35544.0"
"srx.enram","pr2.hobir","10550.0","0.0","none","0.0"
"er12.thlon","px1.cflr.thlon","1.0","0.0","none","0.0"
"px1.lime.enslo","er12.enslo","1.0","18118.0","['er13.thlon', 'px2.lime.thlon']","60923.0"
"srx.enswa","pr5.bllon","10400.0","0.0","none","0.0"
"px1.cflr.thlon","er12.thlon","1.0","12185.0","['er13.thlon', 'px2.cflr.thlon']","24277.0"
"px.lnap.thlon","er13.thlon","1.0","66594.0","['er12.thlon']","188052.0"
"px2.amzn.enslo","er12.enslo","1.0","166909.0","none","0.0"
"pr5.bllon","srx.enswa","10400.0","12455.0","['pr2.hobir']","36759.0"
"pr5.enlba","srx.enlba","10000.0","99198.5","['pr2.enlba']","140790.0"
"px.appl.enslo","er12.enslo","1.0","187803.0","['er13.thlon', 'px2.appl.thlon']","330041.0"
"pr2.hobir","srx.encdf","10140.0","136933.0","[['pr5.bllon'], ['Seg_bllon-th_e61']]","199228.0"
"px.tlx.thlon","er13.thlon","1.0","0.0","none","0.0"
"sr11.enbel","pr2.enlba","10530.0","0.0","none","0.0"
"srx.enrdn","pr2.thlon","10080.0","0.0","none","0.0"
"ar11-cdn.bllon","cx.ntf.bllon","1.0","0.0","none","0.0"
"ar14-cdn.thlon","cx.mcdn.thlon","1.0","0.0","none","0.0"
"pr5.enlba","srx.enalw","10300.0","27323.0","none","0.0"
"pr5.bllon","ar11-cdn.enbgk","100000.0","0.0","none","0.0"
"pr5.enlba","pr2.enlba","400.0","14939.0","['pr5.hobir']","261260.0"
"cx.vlcx.hobir","ar11-cdn.hobir","1.0","90950.0","['ar11-cdn.bllon', 'cx.vlcx.bllon']","119448.0"
"pr5.bllon","srx.enexe","10480.0","114185.0","[['pr2.hobir'], ['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Seg_th_w140-th_e61']]","138250.0"
"ar11-cdn.bllon","pr2.bllon","100000.0","154950.0","['pr5.bllon']","457280.0"
"ar11-cdn.encax","cx.aanp.encax","1.0","0.0","none","0.0"
"cx.bbc.hobir","ar11-cdn.hobir","1.0","0.0","none","0.0"
"ar11-cdn.hobir","pr5.hobir","100000.0","258850.0","['pr2.hobir']","591990.0"
"er13.thlon","tx.tnet.thlon","1.0","0.0","none","0.0"
"er13.thlon","tx.ntt.thlon","1.0","0.0","none","0.0"
"pr2.hobir","srx.enexe","10750.0","24065.0","['pr5.bllon']","138250.0"
"pr2.hobir","srx.engta","10400.0","40857.0","none","0.0"
"er12.enslo","px.goog.enslo","1.0","0.0","none","0.0"
"ar11-cdn.enbgk","cx.ntf.enbgk","1.0","0.0","none","0.0"
"pr2.bllon","srx.ennby","10260.0","17137.0","[['pr5.hobir'], ['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Si_enbkh', 'Si_enhmi', 'Si_enmik', 'Si_ennrt', 'Si_enwrk', 'Si_sabir']]","21193.0"
"pr5.thlon","srx.enwrk","10110.0","28862.0","['pr2.hobir']","88196.0"
"er12.thlon","px.m247.thlon","1.0","0.0","none","0.0"
"tx.l3.thlon","er13.thlon","1.0","118156.0","['er12.enslo']","349220.0"
"pr2.enlba","srx.enedi","10220.0","92250.0","[['pr5.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Si_sabir']]","139912.0"
"srx.eninc","pr2.enlba","10450.0","0.0","none","0.0"
"pr2.enlba","pr5.enlba","400.0","59786.0","[['pr2.hobir'], ['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Seg_th_w140-th_e61', 'Si_enbkh', 'Si_enhmi', 'Si_enmik', 'Si_ennrt', 'Si_enwrk', 'Si_sabir']]","265975.0"
"srx.bllon","pr2.bllon","10000.0","0.0","none","0.0"
"srx.enwrk","pr5.thlon","10110.0","0.0","none","0.0"
"px.m247.thlon","er12.thlon","1.0","15085.0","none","0.0"
"cx.ntf.enlba","ar11-cdn.enlba","1.0","72140.0","['ar11-cdn.hobir', 'cx.ntf.hobir']","94206.0"
"tx.l3.enslo","er12.enslo","1.0","112919.0","['er13.thlon', 'tx.l3.thlon']","231075.0"
"cx.mcdn.thlon","ar14-cdn.thlon","1.0","98860.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","122151.0"
"er12.enslo","tx.tnet.enslo","1.0","0.0","none","0.0"
"er13.thlon","px.libg.thlon","1.0","0.0","none","0.0"
"srx.enips","pr5.enlba","10289.0","0.0","none","0.0"
"er12.thlon","px.ntf.thlon","1.0","0.0","none","0.0"
"er12.enslo","px.aanp.enslo","1.0","0.0","none","0.0"
"px.linx.enslo","er12.enslo","1.0","22633.0","['er12.thlon']","88869.0"
"er12.enslo","pr5.enlba","10000.0","121393.5","['Seg_enbrs-englo', 'Seg_endvz-enbrs', 'Seg_eneve-sabir', 'Seg_englo-eneve', 'Seg_ennby-endvz', 'Seg_enrdn-ennby', 'Seg_enslo-enrdn', 'Seg_sabir-hobir', 'Si_enbrs', 'Si_endvz', 'Si_eneve', 'Si_englo', 'Si_ennby', 'Si_enrdn']","263441.5"
"pr5.hobir","srx.enncl","10500.0","54109.0","['pr2.enlba']","179643.0"
"pr5.thlon","er12.enslo","10000.0","0.0","none","0.0"
